createdat,productname,consumption,revenue
2018-01-19,ÖkoStrom 3,6900,200818.4700000000
2018-01-20,ÖkoGas 1,18200,93758.5800000000
2018-01-20,ÖkoStrom 1,24000,717697.9000000000
2018-01-20,ÖkoStrom 2,19300,565569.9200000000
2018-01-20,ÖkoStrom 3,15100,439466.9400000000
2018-01-21,ÖkoGas 1,33600,173082.8700000000
2018-01-21,ÖkoStrom 1,18242,545514.1200000000
2018-01-21,ÖkoStrom 2,18000,527469.9300000000
2018-01-21,ÖkoStrom 3,15100,439466.9400000000
2018-01-22,ÖkoGas 1,32200,165872.8700000000
2018-01-22,ÖkoStrom 1,7100,212319.3700000000
2018-01-22,ÖkoStrom 2,19900,583149.9200000000
2018-01-22,ÖkoStrom 3,13600,395807.4500000000
2018-01-23,ÖkoGas 1,33400,172052.8700000000
2018-01-23,ÖkoStrom 1,16600,496408.5300000000
2018-01-23,ÖkoStrom 2,15200,445419.9400000000
2018-01-23,ÖkoStrom 3,15400,448196.9400000000
2018-01-24,ÖkoGas 1,29823,153631.3200000000
2018-01-24,ÖkoStrom 1,14800,442578.7400000000
2018-01-24,ÖkoStrom 2,15000,439559.9400000000
2018-01-24,ÖkoStrom 3,13000,378347.4500000000
2018-01-25,ÖkoGas 1,9500,48939.2900000000
2018-01-25,ÖkoStrom 1,17600,526308.5300000000
2018-01-25,ÖkoStrom 2,16900,495239.9300000000
2018-01-25,ÖkoStrom 3,12100,352157.4500000000
2018-01-26,ÖkoGas 1,7800,40184.2900000000
2018-01-26,ÖkoStrom 1,18400,550228.5300000000
2018-01-26,ÖkoStrom 2,9400,275459.9600000000
2018-01-26,ÖkoStrom 3,20000,582075.9200000000
2018-01-27,ÖkoGas 1,31600,162782.8700000000
2018-01-27,ÖkoStrom 1,18900,565188.3200000000
2018-01-27,ÖkoStrom 2,10000,293039.9600000000
2018-01-27,ÖkoStrom 3,19914,579573.3200000000
2018-01-28,ÖkoGas 1,47000,242121.4500000000
2018-01-28,ÖkoStrom 1,9000,269139.1600000000
2018-01-28,ÖkoStrom 2,8400,246149.9700000000
2018-01-28,ÖkoStrom 3,9700,282307.9600000000
2018-01-29,ÖkoGas 1,37200,191637.1600000000
2018-01-29,ÖkoStrom 1,15600,466498.7400000000
2018-01-29,ÖkoStrom 2,18600,545059.9200000000
2018-01-29,ÖkoStrom 3,17000,494766.4300000000
2018-01-30,ÖkoGas 1,21800,112298.5800000000
2018-01-30,ÖkoStrom 1,10600,316979.1600000000
2018-01-30,ÖkoStrom 2,17800,521609.9300000000
2018-01-30,ÖkoStrom 3,12913,375815.7500000000
2018-01-31,ÖkoGas 1,11900,61299.2900000000
2018-01-31,ÖkoStrom 1,12500,373798.9500000000
2018-01-31,ÖkoStrom 2,17500,512819.9300000000
2018-01-31,ÖkoStrom 3,12900,375437.4500000000
2018-02-01,ÖkoGas 1,54700,281776.4500000000
2018-02-01,ÖkoStrom 1,8000,239229.3700000000
2018-02-01,ÖkoStrom 2,13900,407329.9400000000
2018-02-01,ÖkoStrom 3,9700,282307.9600000000
2018-02-02,ÖkoStrom 1,16700,499398.5300000000
2018-02-02,ÖkoStrom 2,18100,530399.9300000000
2018-02-02,ÖkoStrom 3,17500,509316.4300000000
2018-02-03,ÖkoGas 1,7800,40184.2900000000
2018-02-03,ÖkoStrom 1,14500,433608.7400000000
2018-02-03,ÖkoStrom 2,17600,515749.9300000000
2018-02-03,ÖkoStrom 3,13000,378347.4500000000
2018-02-04,ÖkoGas 1,9000,46364.2900000000
2018-02-04,ÖkoStrom 1,14200,424638.7400000000
2018-02-04,ÖkoStrom 2,11500,336999.9500000000
2018-02-04,ÖkoStrom 3,13700,398726.9400000000
2018-02-05,ÖkoGas 1,19300,99423.5800000000
2018-02-05,ÖkoStrom 1,15800,472488.5300000000
2018-02-05,ÖkoStrom 2,14500,424909.9400000000
2018-02-05,ÖkoStrom 3,17600,512226.4300000000
2018-02-06,ÖkoStrom 1,9700,290069.1600000000
2018-02-06,ÖkoStrom 2,13200,386809.9500000000
2018-02-06,ÖkoStrom 3,11500,334697.4500000000
2018-02-07,ÖkoGas 1,11197,57678.8400000000
2018-02-07,ÖkoStrom 1,16900,505378.5300000000
2018-02-07,ÖkoStrom 2,17000,498169.9300000000
2018-02-07,ÖkoStrom 3,13900,404546.9400000000
2018-02-08,ÖkoGas 1,21800,112298.5800000000
2018-02-08,ÖkoStrom 1,17000,508368.5300000000
2018-02-08,ÖkoStrom 2,9600,281319.9600000000
2018-02-08,ÖkoStrom 3,11700,340517.4500000000
2018-02-09,ÖkoGas 1,18400,94788.5800000000
2018-02-09,ÖkoStrom 1,10000,299039.1600000000
2018-02-09,ÖkoStrom 2,12800,375089.9500000000
2018-02-09,ÖkoStrom 3,18300,532596.4300000000
2018-02-10,ÖkoGas 1,72700,374505.0300000000
2018-02-10,ÖkoStrom 1,16200,484448.5300000000
2018-02-10,ÖkoStrom 2,17100,501099.9300000000
2018-02-10,ÖkoStrom 3,18000,523866.4300000000
2018-02-11,ÖkoGas 1,41100,211722.1600000000
2018-02-11,ÖkoStrom 1,7800,233249.3700000000
2018-02-11,ÖkoStrom 2,12400,363369.9500000000
2018-02-11,ÖkoStrom 3,12400,360887.4500000000
2018-02-12,ÖkoGas 1,9600,49454.2900000000
2018-02-12,ÖkoStrom 1,20100,601068.3200000000
2018-02-12,ÖkoStrom 2,25500,747249.9000000000
2018-02-12,ÖkoStrom 3,11800,343427.4500000000
2018-02-13,ÖkoGas 1,9400,48424.2900000000
2018-02-13,ÖkoStrom 1,12000,358848.9500000000
2018-02-13,ÖkoStrom 2,12700,372159.9500000000
2018-02-13,ÖkoStrom 3,17100,497676.4300000000
2018-02-14,ÖkoGas 1,28100,144757.8700000000
2018-02-14,ÖkoStrom 1,18100,541258.5300000000
2018-02-14,ÖkoStrom 2,10400,304759.9600000000
2018-02-14,ÖkoStrom 3,7800,227008.4700000000
2018-02-15,ÖkoGas 1,9400,48424.2900000000
2018-02-15,ÖkoStrom 1,13900,415668.7400000000
2018-02-15,ÖkoStrom 2,12200,357509.9500000000
2018-02-15,ÖkoStrom 3,14900,433646.9400000000
2018-02-16,ÖkoGas 1,18500,95303.5800000000
2018-02-16,ÖkoStrom 1,17300,517338.5300000000
2018-02-16,ÖkoStrom 2,10200,298899.9600000000
2018-02-16,ÖkoStrom 3,12600,366707.4500000000
2018-02-17,ÖkoGas 1,23000,118478.5800000000
2018-02-17,ÖkoStrom 1,17100,511358.5300000000
2018-02-17,ÖkoStrom 2,19800,580219.9200000000
2018-02-17,ÖkoStrom 3,17400,506406.4300000000
2018-02-18,ÖkoStrom 1,20600,616018.3200000000
2018-02-18,ÖkoStrom 2,8000,234429.9700000000
2018-02-18,ÖkoStrom 3,19700,573345.9200000000
2018-02-19,ÖkoGas 1,29800,153512.8700000000
2018-02-19,ÖkoStrom 1,13500,403708.7400000000
2018-02-19,ÖkoStrom 2,17700,518679.9300000000
2018-02-19,ÖkoStrom 3,22600,657745.4100000000
2018-02-20,ÖkoGas 1,38600,198847.1600000000
2018-02-20,ÖkoStrom 1,9500,284089.1600000000
2018-02-20,ÖkoStrom 2,17600,515749.9300000000
2018-02-20,ÖkoStrom 3,20800,605355.9200000000
2018-02-21,ÖkoGas 1,51600,265811.4500000000
2018-02-21,ÖkoStrom 1,14400,430618.7400000000
2018-02-21,ÖkoStrom 2,16600,486449.9300000000
2018-02-21,ÖkoStrom 3,21900,637375.4100000000
2018-02-22,ÖkoGas 1,28800,148362.8700000000
2018-02-22,ÖkoStrom 1,15800,472478.7400000000
2018-02-22,ÖkoStrom 2,12100,354579.9500000000
2018-02-22,ÖkoStrom 3,16300,474396.4300000000
2018-02-23,ÖkoGas 1,17500,90153.5800000000
2018-02-23,ÖkoStrom 1,11500,343898.9500000000
2018-02-23,ÖkoStrom 2,22100,647619.9100000000
2018-02-23,ÖkoStrom 3,17200,500586.4300000000
2018-02-24,ÖkoGas 1,40100,206572.1600000000
2018-02-24,ÖkoStrom 1,18100,541268.3200000000
2018-02-24,ÖkoStrom 2,15300,448349.9400000000
2018-02-24,ÖkoStrom 3,10200,296857.9600000000
2018-02-25,ÖkoGas 1,38000,195757.1600000000
2018-02-25,ÖkoStrom 1,12100,361838.9500000000
2018-02-25,ÖkoStrom 2,10100,295969.9600000000
2018-02-25,ÖkoStrom 3,15400,448196.9400000000
2018-02-26,ÖkoGas 1,12000,61814.2900000000
2018-02-26,ÖkoStrom 1,9500,284089.1600000000
2018-02-26,ÖkoStrom 2,19400,568499.9200000000
2018-02-26,ÖkoStrom 3,9700,282307.9600000000
2018-02-27,ÖkoGas 1,18600,95818.5800000000
2018-02-27,ÖkoStrom 1,9800,293059.1600000000
2018-02-27,ÖkoStrom 2,20100,589009.9200000000
2018-02-27,ÖkoStrom 3,12800,372527.4500000000
2018-02-28,ÖkoGas 1,19100,98393.5800000000
2018-02-28,ÖkoStrom 1,9700,290069.1600000000
2018-02-28,ÖkoStrom 2,11600,339929.9500000000
2018-02-28,ÖkoStrom 3,15200,442376.9400000000
2018-03-01,ÖkoGas 1,52500,270446.4500000000
2018-03-01,ÖkoStrom 1,19900,595088.3200000000
2018-03-01,ÖkoStrom 2,17400,509889.9300000000
2018-03-01,ÖkoStrom 3,15599,453987.8400000000
2018-03-02,ÖkoGas 1,10700,55119.2900000000
2018-03-02,ÖkoStrom 1,22000,657888.1100000000
2018-03-02,ÖkoStrom 2,12400,363369.9500000000
2018-03-02,ÖkoStrom 3,9700,282307.9600000000
2018-03-03,ÖkoGas 1,31200,160722.8700000000
2018-03-03,ÖkoStrom 1,12600,376788.9500000000
2018-03-03,ÖkoStrom 2,14700,430769.9400000000
2018-03-03,ÖkoStrom 3,12400,360887.4500000000
2018-03-04,ÖkoGas 1,8600,44304.2900000000
2018-03-04,ÖkoStrom 1,12700,379778.9500000000
2018-03-04,ÖkoStrom 2,12649,370665.6500000000
2018-03-04,ÖkoStrom 3,13100,381257.4500000000
2018-03-05,ÖkoGas 1,28700,147847.8700000000
2018-03-05,ÖkoStrom 1,14100,421648.7400000000
2018-03-05,ÖkoStrom 2,14500,424909.9400000000
2018-03-05,ÖkoStrom 3,19500,567525.9200000000
2018-03-06,ÖkoGas 1,21700,111783.5800000000
2018-03-06,ÖkoStrom 1,17300,517338.5300000000
2018-03-06,ÖkoStrom 2,20200,591939.9200000000
2018-03-06,ÖkoStrom 3,17300,503496.4300000000
2018-03-07,ÖkoGas 1,28300,145787.8700000000
2018-03-07,ÖkoStrom 1,13500,403698.9500000000
2018-03-07,ÖkoStrom 2,4200,123079.9800000000
2018-03-07,ÖkoStrom 3,15400,448206.4300000000
2018-03-08,ÖkoStrom 1,24592,735398.7000000000
2018-03-08,ÖkoStrom 2,15300,448349.9400000000
2018-03-08,ÖkoStrom 3,10600,308497.9600000000
2018-03-09,ÖkoStrom 1,19800,592098.3200000000
2018-03-09,ÖkoStrom 2,17600,515749.9300000000
2018-03-09,ÖkoStrom 3,20000,582075.9200000000
2018-03-10,ÖkoGas 1,21300,109723.5800000000
2018-03-10,ÖkoStrom 1,13100,391738.9500000000
2018-03-10,ÖkoStrom 2,19600,574359.9200000000
2018-03-10,ÖkoStrom 3,15700,456926.9400000000
2018-03-11,ÖkoGas 1,10900,56149.2900000000
2018-03-11,ÖkoStrom 1,4500,134569.5800000000
2018-03-11,ÖkoStrom 2,14749,432205.6400000000
2018-03-11,ÖkoStrom 3,12100,352157.4500000000
2018-03-12,ÖkoGas 1,11800,60784.2900000000
2018-03-12,ÖkoStrom 1,12200,364828.9500000000
2018-03-12,ÖkoStrom 2,4700,137729.9800000000
2018-03-12,ÖkoStrom 3,12800,372527.4500000000
2018-03-13,ÖkoGas 1,40300,207602.1600000000
2018-03-13,ÖkoStrom 1,14000,418658.7400000000
2018-03-13,ÖkoStrom 2,15400,451279.9400000000
2018-03-13,ÖkoStrom 3,17200,500586.4300000000
2018-03-14,ÖkoGas 1,9900,50999.2900000000
2018-03-14,ÖkoStrom 1,17600,526308.5300000000
2018-03-14,ÖkoStrom 2,12000,351649.9500000000
2018-03-14,ÖkoStrom 3,15000,436556.9400000000
2018-03-15,ÖkoGas 1,11300,58209.2900000000
2018-03-15,ÖkoStrom 1,8000,239229.3700000000
2018-03-15,ÖkoStrom 2,20700,606589.9200000000
2018-03-15,ÖkoStrom 3,9400,273577.9600000000
2018-03-16,ÖkoGas 1,23000,118478.5800000000
2018-03-16,ÖkoStrom 1,16900,505378.5300000000
2018-03-16,ÖkoStrom 2,19800,580219.9200000000
2018-03-16,ÖkoStrom 3,13100,381257.4500000000
2018-03-17,ÖkoStrom 1,14700,439588.7400000000
2018-03-17,ÖkoStrom 2,13700,401469.9400000000
2018-03-17,ÖkoStrom 3,12300,357977.4500000000
2018-03-18,ÖkoGas 1,20400,105088.5800000000
2018-03-18,ÖkoStrom 1,15300,457528.7400000000
2018-03-18,ÖkoStrom 2,20500,600729.9200000000
2018-03-18,ÖkoStrom 3,15500,451106.9400000000
2018-03-19,ÖkoGas 1,21500,110753.5800000000
2018-03-19,ÖkoStrom 1,17400,520328.5300000000
2018-03-19,ÖkoStrom 2,13300,389739.9500000000
2018-03-19,ÖkoStrom 3,20400,593715.9200000000
2018-03-20,ÖkoGas 1,21200,109208.5800000000
2018-03-20,ÖkoStrom 1,9400,281099.1600000000
2018-03-20,ÖkoStrom 2,12800,375089.9500000000
2018-03-20,ÖkoStrom 3,20600,599535.9200000000
2018-03-21,ÖkoGas 1,7700,39669.2900000000
2018-03-21,ÖkoStrom 1,12500,373798.9500000000
2018-03-21,ÖkoStrom 2,12100,354579.9500000000
2018-03-21,ÖkoStrom 3,14300,416186.9400000000
2018-03-22,ÖkoGas 1,31200,160722.8700000000
2018-03-22,ÖkoStrom 1,16300,487428.7400000000
2018-03-22,ÖkoStrom 2,24600,720879.9000000000
2018-03-22,ÖkoStrom 3,11300,328877.4500000000
2018-03-23,ÖkoGas 1,9600,49454.2900000000
2018-03-23,ÖkoStrom 1,12600,376788.9500000000
2018-03-23,ÖkoStrom 2,10400,304759.9600000000
2018-03-23,ÖkoStrom 3,9800,285217.9600000000
2018-03-24,ÖkoGas 1,20400,105088.5800000000
2018-03-24,ÖkoStrom 1,16400,490428.5300000000
2018-03-24,ÖkoStrom 2,15600,457139.9400000000
2018-03-24,ÖkoStrom 3,17000,494766.4300000000
2018-03-25,ÖkoGas 1,32000,164842.8700000000
2018-03-25,ÖkoStrom 1,12700,379778.9500000000
2018-03-25,ÖkoStrom 2,12200,357509.9500000000
2018-03-25,ÖkoStrom 3,12800,372527.4500000000
2018-03-26,ÖkoGas 1,43200,222537.1600000000
2018-03-26,ÖkoStrom 1,14000,418658.7400000000
2018-03-26,ÖkoStrom 2,22200,650549.9100000000
2018-03-26,ÖkoStrom 3,12400,360887.4500000000
2018-03-27,ÖkoGas 1,27600,142182.8700000000
2018-03-27,ÖkoStrom 1,13300,397718.9500000000
2018-03-27,ÖkoStrom 2,17800,521609.9300000000
2018-03-27,ÖkoStrom 3,19600,570435.9200000000
2018-03-28,ÖkoGas 1,33400,172052.8700000000
2018-03-28,ÖkoStrom 1,10500,313989.1600000000
2018-03-28,ÖkoStrom 2,15100,442489.9400000000
2018-03-28,ÖkoStrom 3,22600,657745.4100000000
2018-03-29,ÖkoGas 1,40000,206057.1600000000
2018-03-29,ÖkoStrom 1,17900,535278.5300000000
2018-03-29,ÖkoStrom 2,8000,234429.9700000000
2018-03-29,ÖkoStrom 3,10200,296857.9600000000
2018-03-30,ÖkoGas 1,9600,49454.2900000000
2018-03-30,ÖkoStrom 1,6900,206339.3700000000
2018-03-30,ÖkoStrom 2,17000,498169.9300000000
2018-03-30,ÖkoStrom 3,23200,675205.4100000000
2018-03-31,ÖkoGas 1,31300,161237.8700000000
2018-03-31,ÖkoStrom 1,16900,505378.5300000000
2018-03-31,ÖkoStrom 2,13000,380949.9500000000
2018-03-31,ÖkoStrom 3,25056,729224.5000000000
2018-04-01,ÖkoStrom 1,7800,233249.3700000000
2018-04-01,ÖkoStrom 2,15300,448349.9400000000
2018-04-01,ÖkoStrom 3,17500,509316.4300000000
2018-04-02,ÖkoGas 1,30200,155572.8700000000
2018-04-02,ÖkoStrom 1,18100,541258.5300000000
2018-04-02,ÖkoStrom 2,14900,436629.9400000000
2018-04-02,ÖkoStrom 3,7500,218278.4700000000
2018-04-03,ÖkoGas 1,31700,163297.8700000000
2018-04-03,ÖkoStrom 1,13600,406688.9500000000
2018-04-03,ÖkoStrom 2,15000,439559.9400000000
2018-04-03,ÖkoStrom 3,11700,340517.4500000000
2018-04-04,ÖkoGas 1,41600,214297.1600000000
2018-04-04,ÖkoStrom 1,22200,663868.1100000000
2018-04-04,ÖkoStrom 2,12100,354579.9500000000
2018-04-04,ÖkoStrom 3,14800,430736.9400000000
2018-04-05,ÖkoGas 1,28000,144242.8700000000
2018-04-05,ÖkoStrom 1,17400,520328.5300000000
2018-04-05,ÖkoStrom 2,16900,495239.9300000000
2018-04-05,ÖkoStrom 3,18700,544245.9200000000
2018-04-06,ÖkoGas 1,21300,109723.5800000000
2018-04-06,ÖkoStrom 1,16400,490428.5300000000
2018-04-06,ÖkoStrom 2,18100,530399.9300000000
2018-04-06,ÖkoStrom 3,15100,439466.9400000000
2018-04-07,ÖkoStrom 1,17000,508368.5300000000
2018-04-07,ÖkoStrom 2,19800,580219.9200000000
2018-04-07,ÖkoStrom 3,13200,384167.4500000000
2018-04-08,ÖkoGas 1,20100,103543.5800000000
2018-04-08,ÖkoStrom 1,27410,819666.6900000000
2018-04-08,ÖkoStrom 2,16800,492309.9300000000
2018-04-08,ÖkoStrom 3,4700,136788.9800000000
2018-04-09,ÖkoGas 1,22300,114873.5800000000
2018-04-09,ÖkoStrom 1,17400,520328.5300000000
2018-04-09,ÖkoStrom 2,7200,210989.9700000000
2018-04-09,ÖkoStrom 3,12400,360887.4500000000
2018-04-10,ÖkoGas 1,35500,182882.1600000000
2018-04-10,ÖkoStrom 1,15400,460518.7400000000
2018-04-10,ÖkoStrom 2,17600,515749.9300000000
2018-04-10,ÖkoStrom 3,19600,570435.9200000000
2018-04-11,ÖkoGas 1,22300,114873.5800000000
2018-04-11,ÖkoStrom 1,4700,140549.5800000000
2018-04-11,ÖkoStrom 2,16560,485277.9300000000
2018-04-11,ÖkoStrom 3,24899,724655.8000000000
2018-04-12,ÖkoGas 1,16800,86548.5800000000
2018-04-12,ÖkoStrom 1,15600,466498.7400000000
2018-04-12,ÖkoStrom 2,4500,131869.9800000000
2018-04-12,ÖkoStrom 3,17500,509316.4300000000
2018-04-13,ÖkoGas 1,33100,170507.8700000000
2018-04-13,ÖkoStrom 1,4500,134569.5800000000
2018-04-13,ÖkoStrom 2,2600,76189.9900000000
2018-04-13,ÖkoStrom 3,8000,232828.4700000000
2018-04-14,ÖkoGas 1,8700,44819.2900000000
2018-04-14,ÖkoStrom 1,7700,230259.3700000000
2018-04-14,ÖkoStrom 2,11200,328199.9600000000
2018-04-14,ÖkoStrom 3,21600,628645.4100000000
2018-04-15,ÖkoStrom 1,12200,364828.9500000000
2018-04-15,ÖkoStrom 2,15100,442489.9400000000
2018-04-15,ÖkoStrom 3,17000,494766.4300000000
2018-04-16,ÖkoGas 1,31100,160207.8700000000
2018-04-16,ÖkoStrom 1,16900,505378.5300000000
2018-04-16,ÖkoStrom 2,12800,375089.9500000000
2018-04-16,ÖkoStrom 3,12600,366707.4500000000
2018-04-17,ÖkoGas 1,31300,161237.8700000000
2018-04-17,ÖkoStrom 1,14900,445568.7400000000
2018-04-17,ÖkoStrom 2,15300,448349.9400000000
2018-04-17,ÖkoStrom 3,12100,352157.4500000000
2018-04-18,ÖkoGas 1,9000,46364.2900000000
2018-04-18,ÖkoStrom 1,6900,206339.3700000000
2018-04-18,ÖkoStrom 2,14000,410259.9400000000
2018-04-18,ÖkoStrom 3,13900,404546.9400000000
2018-04-19,ÖkoGas 1,9300,47909.2900000000
2018-04-19,ÖkoStrom 1,12800,382768.9500000000
2018-04-19,ÖkoStrom 2,9800,287179.9600000000
2018-04-19,ÖkoStrom 3,9200,267757.9600000000
2018-04-20,ÖkoGas 1,11400,58724.2900000000
2018-04-20,ÖkoStrom 1,5300,158489.5800000000
2018-04-20,ÖkoStrom 2,16900,495239.9300000000
2018-04-20,ÖkoStrom 3,15900,462746.9400000000
2018-04-21,ÖkoGas 1,21000,108178.5800000000
2018-04-21,ÖkoStrom 1,14700,439588.7400000000
2018-04-21,ÖkoStrom 2,21800,638829.9100000000
2018-04-21,ÖkoStrom 3,10900,317227.9600000000
2018-04-22,ÖkoStrom 1,11500,343898.9500000000
2018-04-22,ÖkoStrom 2,19700,577289.9200000000
2018-04-22,ÖkoStrom 3,15100,439466.9400000000
2018-04-23,ÖkoGas 1,17600,90668.5800000000
2018-04-23,ÖkoStrom 1,16560,495212.5300000000
2018-04-23,ÖkoStrom 2,16700,489379.9300000000
2018-04-23,ÖkoStrom 3,12100,352157.4500000000
2018-04-24,ÖkoGas 1,33000,169992.8700000000
2018-04-24,ÖkoStrom 1,19800,592098.3200000000
2018-04-24,ÖkoStrom 2,9900,290109.9600000000
2018-04-24,ÖkoStrom 3,17900,520956.4300000000
2018-04-25,ÖkoGas 1,11000,56664.2900000000
2018-04-25,ÖkoStrom 1,17000,508368.5300000000
2018-04-25,ÖkoStrom 2,10620,311205.9600000000
2018-04-25,ÖkoStrom 3,19800,576255.9200000000
2018-04-26,ÖkoGas 1,17300,89123.5800000000
2018-04-26,ÖkoStrom 1,12300,367818.9500000000
2018-04-26,ÖkoStrom 2,11600,339929.9500000000
2018-04-26,ÖkoStrom 3,17000,494766.4300000000
2018-04-27,ÖkoGas 1,10500,54089.2900000000
2018-04-27,ÖkoStrom 1,12300,367818.9500000000
2018-04-27,ÖkoStrom 2,18000,527469.9300000000
2018-04-27,ÖkoStrom 3,19700,573345.9200000000
2018-04-28,ÖkoGas 1,8900,45849.2900000000
2018-04-28,ÖkoStrom 1,17600,526308.5300000000
2018-04-28,ÖkoStrom 2,7400,216849.9700000000
2018-04-28,ÖkoStrom 3,15300,445286.9400000000
2018-04-29,ÖkoGas 1,10400,53574.2900000000
2018-04-29,ÖkoStrom 1,12200,364828.9500000000
2018-04-29,ÖkoStrom 2,17800,521609.9300000000
2018-04-29,ÖkoStrom 3,9900,288127.9600000000
2018-04-30,ÖkoGas 1,26400,136002.8700000000
2018-04-30,ÖkoStrom 1,14800,442578.7400000000
2018-04-30,ÖkoStrom 2,12600,369229.9500000000
2018-04-30,ÖkoStrom 3,12700,369617.4500000000
2018-05-01,ÖkoGas 1,8800,45334.2900000000
2018-05-01,ÖkoStrom 1,15500,463518.5300000000
2018-05-01,ÖkoStrom 2,14800,433699.9400000000
2018-05-01,ÖkoStrom 3,15200,442376.9400000000
2018-05-02,ÖkoGas 1,19200,98908.5800000000
2018-05-02,ÖkoStrom 1,16700,499398.5300000000
2018-05-02,ÖkoStrom 2,17800,521609.9300000000
2018-05-02,ÖkoStrom 3,17000,494766.4300000000
2018-05-03,ÖkoGas 1,11200,57694.2900000000
2018-05-03,ÖkoStrom 1,16900,505378.5300000000
2018-05-03,ÖkoStrom 2,16300,477659.9300000000
2018-05-03,ÖkoStrom 3,9200,267757.9600000000
2018-05-04,ÖkoGas 1,9400,48424.2900000000
2018-05-04,ÖkoStrom 1,9400,281099.1600000000
2018-05-04,ÖkoStrom 2,14385,421540.4400000000
2018-05-04,ÖkoStrom 3,20100,584985.9200000000
2018-05-05,ÖkoGas 1,29100,149907.8700000000
