contractid,createdat,revenue
30353,2020-10-30,70329.9900000000
30354,2020-10-18,74759.7900000000
30355,2020-10-21,66939.4900000000
30357,2020-10-17,81489.4900000000
30358,2020-10-29,77749.7900000000
30359,2020-10-29,61539.9900000000
30360,2020-10-22,82049.9900000000
30361,2020-10-01,61119.4900000000
30362,2020-10-20,66939.4900000000
30363,2020-10-24,79119.9900000000
30365,2020-10-17,54089.2900000000
30366,2020-10-06,74759.7900000000
30367,2020-10-08,70329.9900000000
30368,2020-10-30,66939.4900000000
30369,2020-10-28,62799.7900000000
30370,2020-10-05,84979.9900000000
30371,2020-10-01,64469.9900000000
30372,2020-10-28,83729.7900000000
30373,2020-10-28,64469.9900000000
30374,2020-10-29,65789.7900000000
30376,2020-10-05,66939.4900000000
30377,2020-10-16,67399.9900000000
30378,2020-10-05,72759.4900000000
30379,2020-10-03,83729.7900000000
30380,2020-10-11,58209.4900000000
30381,2020-10-04,79119.9900000000
30382,2020-10-11,55299.4900000000
30383,2020-10-27,79119.9900000000
30384,2020-10-12,78579.4900000000
30385,2020-10-19,83729.7900000000
30386,2020-10-19,71769.7900000000
30387,2020-10-24,72759.4900000000
30388,2020-10-24,84399.4900000000
30389,2020-10-13,66939.4900000000
30390,2020-10-12,64469.9900000000
30391,2020-10-28,65789.7900000000
30392,2020-10-02,61539.9900000000
30393,2020-10-07,72759.4900000000
30394,2020-10-01,79119.9900000000
30395,2020-10-22,93129.4900000000
30396,2020-10-17,72759.4900000000
30397,2020-10-31,84979.9900000000
30398,2020-10-14,84399.4900000000
30399,2020-10-31,84399.4900000000
30400,2020-10-07,66939.4900000000
30401,2020-10-24,84979.9900000000
30402,2020-10-19,47909.2900000000
30403,2020-10-31,84399.4900000000
30404,2020-10-05,45334.2900000000
30405,2020-10-24,56149.2900000000
30406,2020-10-28,75669.4900000000
30407,2020-10-06,84979.9900000000
30408,2020-10-11,77749.7900000000
30409,2020-10-12,80739.7900000000
30410,2020-10-12,69849.4900000000
30411,2020-10-13,65789.7900000000
30412,2020-10-03,78579.4900000000
30413,2020-10-19,66939.4900000000
30414,2020-10-26,81489.4900000000
30415,2020-10-10,65789.7900000000
30416,2020-10-21,62799.7900000000
30417,2020-10-28,65789.7900000000
30418,2020-10-05,86719.7900000000
30419,2020-10-01,65789.7900000000
30420,2020-10-16,58609.9900000000
30421,2020-10-13,86719.7900000000
30422,2020-10-28,80739.7900000000
30423,2020-10-28,79119.9900000000
30424,2020-10-07,61119.4900000000
30425,2020-10-19,81489.4900000000
30426,2020-10-30,56819.7900000000
30427,2020-10-18,77749.7900000000
30429,2020-10-02,84979.9900000000
30430,2020-10-23,61119.4900000000
30431,2020-10-01,71769.7900000000
30432,2020-10-05,70329.9900000000
30433,2020-10-28,80739.7900000000
30434,2020-10-30,69849.4900000000
30435,2020-10-10,55679.9900000000
30436,2020-10-05,58609.9900000000
30437,2020-10-19,67399.9900000000
30438,2020-10-10,86719.7900000000
30439,2020-10-10,73259.9900000000
30440,2020-10-08,58609.9900000000
30441,2020-10-29,74759.7900000000
30442,2020-10-11,69849.4900000000
30443,2020-10-29,65789.7900000000
30444,2020-10-10,89709.7900000000
30445,2020-10-15,61119.4900000000
30446,2020-10-11,78579.4900000000
30447,2020-10-25,64469.9900000000
30448,2020-10-29,84979.9900000000
30449,2020-10-26,87309.4900000000
30450,2020-10-03,64029.4900000000
30451,2020-10-04,78579.4900000000
30452,2020-10-14,78579.4900000000
30453,2020-10-30,64029.4900000000
30455,2020-10-29,76189.9900000000
30456,2020-10-21,78579.4900000000
30457,2020-10-03,74759.7900000000
30458,2020-10-06,83729.7900000000
30459,2020-10-27,66939.4900000000
30460,2020-10-08,78579.4900000000
30461,2020-10-06,81489.4900000000
30462,2020-10-22,84979.9900000000
30463,2020-10-26,78579.4900000000
30464,2020-10-09,75669.4900000000
30465,2020-10-05,53574.2900000000
30466,2020-10-30,77749.7900000000
30467,2020-10-29,82049.9900000000
30468,2020-10-16,69849.4900000000
30469,2020-10-20,66939.4900000000
30470,2020-10-12,65789.7900000000
30471,2020-10-13,43274.2900000000
30472,2020-10-15,81489.4900000000
30473,2020-10-08,80739.7900000000
30474,2020-10-26,81489.4900000000
30475,2020-10-05,65789.7900000000
30477,2020-10-05,68779.7900000000
30478,2020-10-20,47394.2900000000
30479,2020-10-31,67399.9900000000
30480,2020-10-10,74759.7900000000
30481,2020-10-04,67399.9900000000
30482,2020-10-03,61119.4900000000
30483,2020-10-23,84979.9900000000
30484,2020-10-18,71769.7900000000
30485,2020-10-11,84979.9900000000
30486,2020-10-23,84399.4900000000
30487,2020-10-19,73259.9900000000
30488,2020-10-20,77749.7900000000
30490,2020-10-27,65789.7900000000
30491,2020-10-11,65789.7900000000
30492,2020-10-26,71769.7900000000
30493,2020-10-02,82049.9900000000
30494,2020-10-27,62799.7900000000
30495,2020-10-13,61119.4900000000
30496,2020-10-17,82049.9900000000
30497,2020-10-25,84979.9900000000
30498,2020-10-25,74759.7900000000
30499,2020-10-08,54089.2900000000
30501,2020-10-21,66939.4900000000
30503,2020-10-25,86719.7900000000
30504,2020-10-11,58609.9900000000
30505,2020-10-12,64469.9900000000
30506,2020-10-18,42244.2900000000
30507,2020-10-04,74759.7900000000
30508,2020-10-26,72759.4900000000
30509,2020-10-30,79119.9900000000
30510,2020-10-07,77749.7900000000
30511,2020-10-03,87309.4900000000
30512,2020-10-31,58209.4900000000
30513,2020-10-23,82049.9900000000
30514,2020-10-20,74759.7900000000
30515,2020-10-03,57694.2900000000
30516,2020-10-19,79119.9900000000
30517,2020-10-31,55119.2900000000
30518,2020-10-12,50484.2900000000
30519,2020-10-30,77749.7900000000
30520,2020-10-30,78579.4900000000
30521,2020-10-22,71769.7900000000
30522,2020-10-29,64469.9900000000
30523,2020-10-10,79119.9900000000
30524,2020-10-05,87909.9900000000
30525,2020-10-22,66939.4900000000
30526,2020-10-13,64029.4900000000
30527,2020-10-13,56149.2900000000
30528,2020-10-20,72759.4900000000
30529,2020-10-06,61119.4900000000
30530,2020-10-08,61539.9900000000
30531,2020-10-13,81489.4900000000
30532,2020-10-19,76189.9900000000
30533,2020-10-19,50999.2900000000
30534,2020-10-31,58609.9900000000
30535,2020-10-07,61119.4900000000
30536,2020-10-31,66939.4900000000
30537,2020-10-02,61119.4900000000
30538,2020-10-09,81489.4900000000
30539,2020-10-23,84979.9900000000
30540,2020-10-11,74759.7900000000
30541,2020-10-13,84979.9900000000
30542,2020-10-24,69849.4900000000
30544,2020-10-27,59809.7900000000
30545,2020-10-03,68779.7900000000
30546,2020-10-11,75669.4900000000
30547,2020-10-17,61539.9900000000
30548,2020-10-23,67399.9900000000
30549,2020-10-19,71769.7900000000
30550,2020-10-09,77749.7900000000
30551,2020-10-27,71769.7900000000
30552,2020-10-11,57694.2900000000
30553,2020-10-19,61119.4900000000
30554,2020-10-03,72759.4900000000
30555,2020-10-08,74759.7900000000
30556,2020-10-14,81489.4900000000
30558,2020-10-16,64469.9900000000
30559,2020-10-19,83729.7900000000
30560,2020-10-22,58724.2900000000
30561,2020-10-31,78579.4900000000
30562,2020-10-01,84399.4900000000
30563,2020-10-02,71769.7900000000
30564,2020-10-29,68779.7900000000
30565,2020-10-15,62799.7900000000
30566,2020-10-30,65789.7900000000
30567,2020-10-01,69849.4900000000
30568,2020-10-20,45849.2900000000
30569,2020-10-12,64469.9900000000
30570,2020-10-16,82049.9900000000
30571,2020-10-27,57694.2900000000
30572,2020-10-29,78579.4900000000
30573,2020-10-02,82049.9900000000
30574,2020-10-23,55634.2900000000
30575,2020-10-08,84979.9900000000
30576,2020-10-14,58209.4900000000
30577,2020-10-29,70329.9900000000
30578,2020-10-04,81489.4900000000
30579,2020-10-06,75669.4900000000
30580,2020-10-23,68779.7900000000
30581,2020-10-13,58609.9900000000
30582,2020-10-10,64029.4900000000
30583,2020-10-22,84399.4900000000
30584,2020-10-01,74759.7900000000
30585,2020-10-22,65789.7900000000
30586,2020-10-14,67399.9900000000
30587,2020-10-05,86719.7900000000
30588,2020-10-16,78579.4900000000
30589,2020-10-04,86719.7900000000
30590,2020-10-15,64469.9900000000
30591,2020-10-19,41729.2900000000
30592,2020-10-07,69849.4900000000
30593,2020-10-28,61539.9900000000
30594,2020-10-24,68779.7900000000
30595,2020-10-17,58609.9900000000
30596,2020-10-25,84399.4900000000
30597,2020-10-12,64469.9900000000
30598,2020-10-27,54089.2900000000
30599,2020-10-30,70329.9900000000
30600,2020-10-06,68779.7900000000
30601,2020-10-15,72759.4900000000
30602,2020-10-23,64469.9900000000
30603,2020-10-15,71769.7900000000
30604,2020-10-18,64469.9900000000
30606,2020-10-31,64029.4900000000
30607,2020-10-22,75669.4900000000
30608,2020-10-03,69849.4900000000
30609,2020-10-13,46364.2900000000
30610,2020-10-24,69849.4900000000
30611,2020-10-10,61119.4900000000
30612,2020-10-28,90839.9900000000
30613,2020-10-26,67399.9900000000
30614,2020-10-12,55299.4900000000
30616,2020-10-08,68779.7900000000
30617,2020-10-31,68779.7900000000
30618,2020-10-05,75669.4900000000
30619,2020-10-13,64469.9900000000
30620,2020-10-09,81489.4900000000
30621,2020-10-03,68779.7900000000
30622,2020-10-20,76189.9900000000
30623,2020-10-18,74759.7900000000
30624,2020-10-02,67399.9900000000
30625,2020-10-08,67399.9900000000
30626,2020-10-14,72759.4900000000
30627,2020-10-31,83729.7900000000
30628,2020-10-28,65789.7900000000
30629,2020-10-26,83729.7900000000
30630,2020-10-02,58609.9900000000
30631,2020-10-30,62799.7900000000
30632,2020-10-05,86719.7900000000
30633,2020-10-22,56819.7900000000
30634,2020-10-23,83729.7900000000
30635,2020-10-29,61119.4900000000
30636,2020-10-29,84399.4900000000
30637,2020-10-12,69849.4900000000
30638,2020-10-13,71769.7900000000
30639,2020-10-28,77749.7900000000
30640,2020-10-11,62799.7900000000
30642,2020-10-02,64029.4900000000
30643,2020-10-15,48424.2900000000
30644,2020-10-12,70329.9900000000
30647,2020-10-10,84979.9900000000
30648,2020-10-21,71769.7900000000
30649,2020-10-29,83729.7900000000
30650,2020-10-02,62799.7900000000
30651,2020-10-20,72759.4900000000
30652,2020-10-05,77749.7900000000
30653,2020-10-15,68779.7900000000
30654,2020-10-13,64029.4900000000
30655,2020-10-10,68779.7900000000
30656,2020-10-19,69849.4900000000
30657,2020-10-25,53574.2900000000
30658,2020-10-28,55299.4900000000
30659,2020-10-10,76189.9900000000
30661,2020-10-01,62799.7900000000
30662,2020-10-13,77749.7900000000
30663,2020-10-08,79119.9900000000
30664,2020-10-28,76189.9900000000
30665,2020-10-12,65789.7900000000
30666,2020-10-05,65789.7900000000
30667,2020-10-14,58209.4900000000
30668,2020-10-19,76189.9900000000
30669,2020-10-26,76189.9900000000
30670,2020-10-31,72759.4900000000
30671,2020-10-23,74759.7900000000
30673,2020-10-07,45334.2900000000
30674,2020-10-22,83729.7900000000
30675,2020-10-10,79119.9900000000
30676,2020-10-22,70329.9900000000
30677,2020-10-28,75669.4900000000
30678,2020-10-14,39154.2900000000
30679,2020-10-19,76189.9900000000
30680,2020-10-31,84979.9900000000
30682,2020-10-09,77749.7900000000
30683,2020-10-11,64469.9900000000
30684,2020-10-29,84979.9900000000
30685,2020-10-04,81489.4900000000
30686,2020-10-06,81489.4900000000
30687,2020-10-26,55679.9900000000
30688,2020-10-22,64029.4900000000
30689,2020-10-06,50999.2900000000
30690,2020-10-04,61539.9900000000
30691,2020-10-12,64029.4900000000
30693,2020-10-18,64469.9900000000
30694,2020-10-03,84399.4900000000
30695,2020-10-10,65789.7900000000
30696,2020-10-08,59809.7900000000
30697,2020-10-25,64029.4900000000
30698,2020-10-17,71769.7900000000
30699,2020-10-13,69849.4900000000
30700,2020-10-30,75669.4900000000
30701,2020-10-29,75669.4900000000
30702,2020-10-13,80739.7900000000
30703,2020-10-01,79119.9900000000
30704,2020-10-11,84399.4900000000
30705,2020-10-18,86719.7900000000
30706,2020-10-02,71769.7900000000
30707,2020-10-12,59809.7900000000
30708,2020-10-14,69849.4900000000
30710,2020-10-30,67399.9900000000
30712,2020-10-03,59809.7900000000
30713,2020-10-10,64469.9900000000
30714,2020-10-27,87909.9900000000
30715,2020-10-07,61299.2900000000
30716,2020-10-18,61539.9900000000
30717,2020-10-03,73259.9900000000
30718,2020-10-23,65789.7900000000
30719,2020-10-05,70329.9900000000
30720,2020-10-05,82049.9900000000
30721,2020-10-21,82049.9900000000
30722,2020-10-23,79119.9900000000
30725,2020-10-27,58209.4900000000
30726,2020-10-17,46364.2900000000
30727,2020-10-24,68779.7900000000
30729,2020-10-09,73259.9900000000
30730,2020-10-05,49454.2900000000
30731,2020-10-26,49969.2900000000
30732,2020-10-05,58609.9900000000
30733,2020-10-13,77749.7900000000
30734,2020-10-13,61119.4900000000
30735,2020-10-18,86719.7900000000
30736,2020-10-02,75669.4900000000
30737,2020-10-15,71769.7900000000
30738,2020-10-03,62799.7900000000
30739,2020-10-22,72759.4900000000
30740,2020-10-13,81489.4900000000
30741,2020-10-19,81489.4900000000
30742,2020-10-02,79119.9900000000
30743,2020-10-28,71769.7900000000
30744,2020-10-27,86719.7900000000
30745,2020-10-25,79119.9900000000
30746,2020-10-22,66939.4900000000
30747,2020-10-31,58609.9900000000
30748,2020-10-17,67399.9900000000
30749,2020-10-02,83729.7900000000
30750,2020-10-21,90839.9900000000
30751,2020-10-27,61539.9900000000
30752,2020-10-15,83729.7900000000
30753,2020-10-18,72759.4900000000
30754,2020-10-10,81489.4900000000
30755,2020-10-25,50999.2900000000
30756,2020-10-09,77749.7900000000
30757,2020-10-27,64469.9900000000
30758,2020-10-01,77749.7900000000
30759,2020-10-16,83729.7900000000
30760,2020-10-20,87309.4900000000
30761,2020-10-12,55634.2900000000
30762,2020-10-11,62799.7900000000
30763,2020-10-13,64469.9900000000
30764,2020-10-07,69849.4900000000
30765,2020-10-23,72759.4900000000
30766,2020-10-09,87309.4900000000
30767,2020-10-25,83729.7900000000
30768,2020-10-15,87309.4900000000
30769,2020-10-30,66939.4900000000
30770,2020-10-27,72759.4900000000
30771,2020-10-05,65789.7900000000
30772,2020-10-09,78579.4900000000
30773,2020-10-06,82049.9900000000
30774,2020-10-24,58209.4900000000
30775,2020-10-03,64469.9900000000
30776,2020-10-19,83729.7900000000
30777,2020-10-20,84399.4900000000
30778,2020-10-17,65789.7900000000
30780,2020-10-12,78579.4900000000
30781,2020-10-06,49454.2900000000
30782,2020-10-22,82049.9900000000
30783,2020-10-17,86719.7900000000
30784,2020-10-17,64029.4900000000
30785,2020-10-01,79119.9900000000
30786,2020-10-17,79119.9900000000
30787,2020-10-22,71769.7900000000
30788,2020-10-09,62799.7900000000
30789,2020-10-16,72759.4900000000
30790,2020-10-12,65789.7900000000
30791,2020-10-10,66939.4900000000
30792,2020-10-13,58724.2900000000
30793,2020-10-15,82049.9900000000
30794,2020-10-29,84399.4900000000
30795,2020-10-14,82049.9900000000
30796,2020-10-20,74759.7900000000
30797,2020-10-18,64029.4900000000
30798,2020-10-17,68779.7900000000
30799,2020-10-19,69849.4900000000
30800,2020-10-15,79119.9900000000
30801,2020-10-11,79119.9900000000
30802,2020-10-28,69849.4900000000
30803,2020-10-17,84399.4900000000
30804,2020-10-05,82049.9900000000
30805,2020-10-22,64029.4900000000
30806,2020-10-11,76189.9900000000
30807,2020-10-08,72759.4900000000
30808,2020-10-18,77749.7900000000
30809,2020-10-13,73259.9900000000
30810,2020-10-31,68779.7900000000
30811,2020-10-26,61539.9900000000
30812,2020-10-27,68779.7900000000
30813,2020-10-21,87309.4900000000
30814,2020-10-12,47394.2900000000
30815,2020-10-14,71769.7900000000
30816,2020-10-15,69849.4900000000
30817,2020-10-19,62799.7900000000
30819,2020-10-27,64469.9900000000
30820,2020-10-12,69849.4900000000
30821,2020-10-15,84979.9900000000
30822,2020-10-11,86719.7900000000
30823,2020-10-18,74759.7900000000
30824,2020-10-29,71769.7900000000
30825,2020-10-27,70329.9900000000
30826,2020-10-10,65789.7900000000
30827,2020-10-28,69849.4900000000
30828,2020-10-16,71769.7900000000
30830,2020-10-19,83729.7900000000
30831,2020-10-26,57694.2900000000
30832,2020-10-14,66939.4900000000
30833,2020-10-09,65789.7900000000
30834,2020-10-07,58609.9900000000
